RMS_ch1,MAV_ch1,WL_ch1,SSC_ch1,RMS_ch2,MAV_ch2,WL_ch2,SSC_ch2,Label
434.54926072886144,434.5,450.0,58,437.7429991825493,437.73333333333335,301.0,48,0
434.69242766198107,434.64,478.0,59,437.7122875436177,437.7,338.0,50,0
434.1438164172482,434.08,540.0,59,437.3337245933209,437.32,351.0,55,0
434.4316440285322,434.37333333333333,528.0,54,437.48219011368525,437.46666666666664,364.0,55,0
434.2021956032312,434.14666666666665,497.0,55,437.5750297568026,437.56,370.0,56,0
434.67564152288696,434.5933333333333,560.0,56,437.91633143025547,437.9,368.0,64,0
433.91569841771496,433.8333333333333,596.0,58,437.476026009807,437.46,372.0,64,0
435.07891238256997,434.99333333333334,551.0,56,438.2853332400405,438.26,373.0,64,0
434.6145341947659,434.2733333333333,772.0,55,437.4480159592299,437.2866666666667,547.0,57,0
434.52793542724805,434.1666666666667,845.0,58,437.463667062763,437.3,562.0,54,0
434.64134639953437,434.31333333333333,783.0,56,437.18064153543367,437.02,554.0,54,0
436.07620893600694,435.7266666666667,797.0,55,438.0457890829831,437.87333333333333,598.0,47,0
433.7570979246334,433.3666666666667,906.0,50,436.7282526545159,436.55333333333334,655.0,48,0
434.4427311702506,434.2866666666667,760.0,56,437.516376836342,437.46,547.0,49,0
435.64402134464484,435.47333333333336,766.0,52,437.8981388405299,437.8333333333333,572.0,49,0
434.12905915176884,433.92,871.0,49,437.64666874850843,437.55333333333334,674.0,47,0
434.60349745486405,434.4,861.0,54,438.2237328123615,438.1333333333333,653.0,52,0
434.34754133834656,434.16,834.0,56,437.9890409587893,437.8666666666667,714.0,52,0
434.3519770877071,433.97333333333336,926.0,52,437.8947362095142,437.53333333333336,844.0,53,0
434.06415808418615,433.6933333333333,942.0,57,438.0401808053686,437.68,849.0,56,0
435.0618117003606,434.7133333333333,899.0,60,438.3142327904339,437.98,776.0,61,0
433.9425845277998,433.5933333333333,967.0,63,437.2285062374898,436.88666666666666,819.0,67,0
434.5485933701777,434.16,1031.0,58,437.93187445842153,437.62,790.0,62,0
434.9830264887739,434.8066666666667,905.0,62,438.298239406305,438.24,612.0,67,0
434.08061463281217,433.9266666666667,887.0,62,437.48993893193324,437.42,636.0,59,0
434.1878088262421,434.02666666666664,917.0,60,437.69930317513644,437.62666666666667,653.0,56,0
433.64390152904645,433.5,838.0,51,437.4854359480629,437.4266666666667,603.0,55,0
434.6320359415153,434.55333333333334,695.0,53,437.67478032590975,437.62666666666667,538.0,55,0
433.97628199399713,433.9066666666667,660.0,57,437.55989304322674,437.5133333333333,552.0,59,0
434.0850915047264,434.0133333333333,672.0,56,437.7334196365028,437.70666666666665,520.0,64,0
433.9524935596829,433.9,608.0,61,437.58884050365515,437.56666666666666,495.0,66,0
434.1711951139397,434.12,612.0,68,437.69525928435644,437.67333333333335,481.0,66,0
434.1969292076273,434.14666666666665,640.0,69,437.7331835719106,437.7133333333333,496.0,74,0
433.8411767763252,433.78,680.0,72,437.4236771521785,437.38,544.0,64,0
434.16790146977314,434.11333333333334,609.0,73,437.7000038077831,437.6533333333333,521.0,63,0
434.33136351561507,434.25333333333333,634.0,68,437.5262277852609,437.46666666666664,565.0,62,0
434.398872005902,434.31333333333333,659.0,58,438.20175718497524,438.14,576.0,55,0
434.9435135738893,434.8466666666667,638.0,56,438.30142596163205,438.22,568.0,47,0
434.7495294227854,434.62,699.0,48,438.14385004623006,438.0733333333333,552.0,48,0
434.6257393819806,434.48,762.0,50,438.0224119075796,437.9533333333333,539.0,47,0
434.37978774339854,434.2266666666667,814.0,50,438.0435594778218,437.94666666666666,583.0,48,0
434.9022725471398,434.74666666666667,788.0,56,437.81052979570967,437.7133333333333,602.0,53,0
433.1599319727838,432.98,833.0,55,437.04760228911755,436.9533333333333,633.0,53,0
434.304278895185,434.1666666666667,738.0,53,437.69397223783346,437.61333333333334,591.0,58,0
434.67488233544543,434.5466666666667,723.0,57,438.3985857641423,438.3066666666667,656.0,62,0
434.0042856931254,433.8666666666667,736.0,58,437.6163312004402,437.52,653.0,61,0
433.8868746574388,433.75333333333333,759.0,57,437.5981870772928,437.50666666666666,626.0,58,0
434.28294923931793,434.18666666666667,715.0,61,437.83378885904483,437.76,588.0,65,0
434.06538677945747,433.92,778.0,54,437.46686731682894,437.3,717.0,57,0
433.6859385930484,433.5466666666667,743.0,51,436.9431084248841,436.7866666666667,658.0,53,0
434.36810042482017,434.26,714.0,55,437.8273403980158,437.7133333333333,600.0,54,0
434.19074149502546,434.08,716.0,52,437.3368724450295,437.1933333333333,640.0,54,0
434.56250029963087,434.44666666666666,716.0,53,437.8026115347722,437.6333333333333,710.0,50,0
434.5377927560885,434.4,769.0,59,438.2104821506061,438.1066666666667,666.0,57,0
434.3504268828722,434.2133333333333,769.0,64,437.79314750233357,437.6933333333333,658.0,60,0
434.15378995620125,433.8333333333333,858.0,59,437.4275482865705,437.11333333333334,830.0,56,0
434.7095505430417,434.1933333333333,986.0,54,438.1697083703223,437.70666666666665,935.0,49,0
434.8403538464816,434.32,1014.0,58,438.3142023708563,437.87333333333333,867.0,46,0
434.74711423232395,434.29333333333335,911.0,58,438.034298504885,437.62,805.0,49,0
436.06332108995366,435.43333333333334,1078.0,51,439.53056776520106,438.8666666666667,1121.0,43,0
435.3249284538313,434.7266666666667,1116.0,56,438.7888862159873,438.20666666666665,1019.0,45,0
434.7483793337628,434.35333333333335,999.0,61,438.29160004119024,437.88666666666666,882.0,55,0
434.5097083687161,434.12666666666667,971.0,61,437.9568852448073,437.55333333333334,893.0,58,0
435.1743558621073,434.72,1072.0,56,438.2726928903207,437.79333333333335,1005.0,48,0
433.6784446261231,433.38,939.0,62,436.68433297596863,436.43333333333334,735.0,51,0
434.4942193708297,434.3333333333333,819.0,58,437.5893508759097,437.46666666666664,658.0,55,0
434.06813597252983,433.9066666666667,861.0,61,437.5310808007434,437.4066666666667,658.0,53,0
434.11200551624154,433.9,893.0,57,437.6123170113017,437.46,707.0,53,0
433.59097469081775,433.4533333333333,788.0,66,437.36386834457795,437.2866666666667,597.0,64,0
434.6309699043546,434.49333333333334,822.0,68,438.35001996121775,438.2733333333333,621.0,61,0
433.8433357791727,433.68,880.0,73,437.6533788284971,437.53333333333336,681.0,58,0
434.3767719388319,434.20666666666665,842.0,71,437.8508650214134,437.7266666666667,710.0,59,0
434.42261297803856,434.31333333333333,766.0,71,437.7534085151898,437.66,649.0,59,0
434.2279815949221,434.1,827.0,66,437.60233088958745,437.48,717.0,54,0
433.7171966462324,433.6066666666667,773.0,62,437.14693944561327,437.0466666666667,661.0,57,0
434.5815995491142,434.47333333333336,771.0,62,437.8752714339248,437.8066666666667,626.0,60,0
434.0000460829469,433.8933333333333,777.0,60,437.65641775255625,437.5933333333333,581.0,59,0
434.3974063765421,434.28,782.0,63,437.770921830128,437.7,612.0,61,0
434.1206821457216,434.00666666666666,778.0,68,437.85475521760253,437.8,569.0,61,0
434.0383316405745,433.9266666666667,786.0,69,437.59318245755765,437.54,576.0,64,0
434.08376303811843,434.00666666666666,675.0,65,437.68091116702817,437.6333333333333,553.0,65,0
434.2592236594789,434.12666666666667,706.0,62,437.7271219987783,437.62,639.0,59,0
434.4371837983791,434.3066666666667,693.0,56,437.8479035768775,437.74666666666667,596.0,58,0
434.7336732606144,434.62,655.0,60,438.0199386633749,437.93333333333334,558.0,53,0
434.268050862598,434.14,685.0,55,437.8449116601296,437.75333333333333,595.0,48,0
434.2392658431524,434.1,740.0,54,437.6114638961522,437.5133333333333,625.0,45,0
434.59315073602653,434.5133333333333,661.0,55,437.80947911163366,437.76666666666665,571.0,51,0
434.317618032395,434.22,658.0,54,437.8045987271795,437.76,547.0,48,0
434.3573260193347,434.26,664.0,45,437.5114627069787,437.46666666666664,579.0,53,0
434.6052998603062,434.52666666666664,581.0,46,437.5359413808196,437.4866666666667,540.0,54,0
434.68311062964784,434.62,558.0,52,437.90272892504333,437.8666666666667,489.0,57,0
434.3611861112823,434.29333333333335,594.0,55,437.70683491731467,437.67333333333335,482.0,53,0
434.3280710860551,434.2866666666667,582.0,64,437.54979907053627,437.52,516.0,59,0
434.21018719816635,434.1666666666667,569.0,63,437.9103104518093,437.88,481.0,58,0
434.29978893233033,434.25333333333333,608.0,67,437.8853046175448,437.86,493.0,57,0
434.15851175962604,434.1066666666667,653.0,66,437.7452150890211,437.7133333333333,522.0,56,0
434.17897999173874,434.1333333333333,639.0,68,437.69809991210457,437.6666666666667,524.0,60,0
434.0944213724321,434.0466666666667,643.0,62,437.6590910743201,437.62666666666667,523.0,59,0
434.91667401162414,434.86,680.0,62,437.9786981121342,437.94,581.0,64,0
433.9729177418026,433.9066666666667,683.0,60,437.6132843809322,437.5733333333333,579.0,67,0
434.4118859638473,434.35333333333335,606.0,54,437.86265731010525,437.82666666666665,557.0,65,0
434.2457982909372,434.18666666666667,590.0,52,437.81984118280127,437.7866666666667,528.0,66,0
434.1860891369045,434.12,645.0,53,437.92685842881724,437.8933333333333,552.0,66,0
433.6736176742444,433.62,607.0,60,437.26756111104334,437.24,501.0,63,0
433.90466694885873,433.8466666666667,599.0,61,437.68375950374644,437.66,482.0,62,0
434.1627037567061,434.1066666666667,581.0,66,437.71515852206903,437.6933333333333,466.0,64,0
434.10754427906454,434.05333333333334,610.0,65,437.7695588624987,437.74666666666667,507.0,64,0
434.2765171331894,434.2266666666667,593.0,63,437.6280536406839,437.6066666666667,488.0,63,0
433.9297485384779,433.88,604.0,57,437.7321631622089,437.7133333333333,479.0,60,0
434.3268124350602,434.2866666666667,590.0,55,437.7851451720733,437.76666666666665,482.0,60,0
434.06229199659043,434.02,609.0,59,437.59189511080604,437.5733333333333,493.0,62,0
434.3792736000802,434.34,570.0,59,437.57060382678054,437.55333333333334,451.0,57,0
434.09918221530893,434.0466666666667,551.0,58,437.67896149270564,437.66,459.0,62,0
434.346942738943,434.29333333333335,577.0,62,437.6392654534859,437.62,449.0,61,0
434.77625663475845,434.7266666666667,586.0,67,437.5901126244361,437.5733333333333,403.0,58,0
434.4635772996397,434.41333333333336,590.0,65,437.66797156444215,437.6533333333333,387.0,58,0
434.2379071430775,434.18666666666667,580.0,63,437.76182260829154,437.74666666666667,383.0,60,0
434.3455690269366,434.3,586.0,65,437.738734863617,437.72,394.0,55,0
434.856298103178,434.8,551.0,62,437.9300552980274,437.9066666666667,439.0,56,0
433.78071264945225,433.70666666666665,604.0,60,437.70917285339135,437.68,498.0,57,0
434.4945952866771,434.38,601.0,60,437.7833939290068,437.74,501.0,57,0
434.289741992601,434.1533333333333,677.0,58,437.51418262726065,437.46,567.0,57,0
434.73837343088695,434.6,684.0,57,437.6795174554094,437.62666666666667,546.0,57,0
433.6112237169759,433.46666666666664,776.0,62,437.3955113319447,437.32666666666665,582.0,61,0
434.78117867880775,434.66,682.0,61,437.8420795979604,437.78,520.0,64,0
