RMS_ch1,MAV_ch1,WL_ch1,SSC_ch1,RMS_ch2,MAV_ch2,WL_ch2,SSC_ch2,Label
2.913551,2.445521,121.3719,22,1.686573,1.276876,71.89725,25,0
2.884931,2.415352,121.0438,24,1.957892,1.485964,88.96164,26,0
3.505054,2.927507,141.804,21,2.417628,1.796206,97.35191,25,0
3.548207,2.979972,154.7624,23,2.443248,1.881274,102.2199,23,0
4.95446,3.738527,202.6868,23,2.502741,1.878437,100.2202,23,0
5.328728,4.106205,242.5774,22,2.466809,1.832357,102.4452,21,0
6.256648,4.845964,293.7368,21,2.456345,1.855643,100.7631,21,0
8.584901,6.401595,382.1288,24,4.245144,2.80982,173.9574,21,0
9.330591,7.404857,438.7769,23,4.379587,2.986281,189.735,24,0
10.23207,7.89261,480.1629,22,4.793902,3.440707,224.3567,23,0
11.24543,8.668898,482.3549,20,4.949253,3.70151,239.7506,22,0
10.91722,8.220875,464.5072,20,6.047428,4.472695,296.8486,24,0
9.570717,6.982667,394.5705,20,5.752557,4.275261,253.4861,22,0
9.192286,6.492554,368.7941,20,6.174512,4.694052,266.1339,21,0
7.695508,5.629754,283.8773,19,6.534667,5.105082,289.1928,22,0
6.321213,5.114673,286.0106,19,7.396321,5.853539,340.5432,22,0
6.683269,5.448443,307.4073,20,8.423131,6.549786,356.5277,21,0
6.610302,5.4987,353.7995,21,8.415406,6.585376,401.8628,23,0
6.648609,5.539067,362.7098,22,8.825393,7.10327,445.0822,22,0
6.734888,5.680022,380.4333,23,8.616677,6.881284,414.727,23,0
7.04721,5.904595,424.109,24,8.348115,6.749891,397.187,23,0
6.718608,5.664388,395.5787,23,8.427703,6.930354,411.1161,22,0
8.3328,6.778039,415.02,21,10.458,8.307936,482.7346,23,0
10.63526,8.575276,534.688,20,10.62992,8.533541,502.6772,22,0
11.55167,9.352529,596.502,21,12.8702,10.4915,604.5846,21,0
11.23265,8.80434,550.4711,22,14.02944,11.83913,674.3607,21,0
11.67913,9.294912,558.9182,24,14.43243,11.91942,674.4121,20,0
11.50693,9.136161,572.6036,24,13.01946,10.37096,564.3792,21,0
10.70269,8.63871,519.9623,24,13.83657,10.8582,567.0633,21,0
9.876639,7.957857,487.4452,24,13.21957,10.16711,547.7081,24,0
10.61095,8.902819,539.2293,24,15.22466,11.27783,708.8488,25,0
10.63619,8.77975,542.7225,22,15.89331,11.99629,766.6493,25,0
10.6284,8.580568,539.3664,23,17.76153,14.13698,919.4624,25,0
9.832304,7.814405,541.5499,25,17.38066,13.78176,911.6725,24,0
10.2967,8.193056,588.2354,25,17.10978,13.65026,916.4936,24,0
11.00726,8.598621,649.236,27,17.14402,13.79577,953.8997,25,0
11.77785,9.558313,740.9556,29,21.78505,16.56353,1138.557,24,0
13.01843,10.40705,814.9397,28,26.41947,19.77324,1319.958,23,0
12.66819,10.00323,764.7075,28,29.20834,22.60894,1530.646,24,0
13.4546,10.64747,802.9564,27,30.2838,23.90428,1597.993,23,0
14.73808,11.78215,836.2208,25,30.12678,23.74187,1460.228,23,0
14.24649,11.09736,759.7191,24,26.98566,21.12283,1287.725,24,0
13.10277,10.28578,689.5679,24,23.04356,18.57114,1135.722,22,0
14.24712,11.58535,745.3408,23,21.33823,17.80512,1075.855,21,0
14.0679,11.3913,692.0663,23,19.88991,16.58391,961.9866,20,0
12.00204,9.67625,614.5788,23,19.02526,15.64365,954.6493,20,0
13.32531,10.64764,700.8331,24,19.66816,16.18541,1031.793,21,0
12.44978,9.645134,636.5477,25,19.84554,16.17282,1091.337,22,0
11.04308,8.100842,564.3659,25,18.72844,15.10337,1040.412,25,0
10.54347,7.902068,555.3227,24,18.59624,14.73975,1039.666,25,0
12.20307,9.095553,624.7008,24,19.07654,15.36416,1069.269,24,0
10.21485,7.62745,508.561,24,19.00156,15.10435,994.6796,25,0
10.06342,7.428282,478.42,22,17.38592,13.90478,873.9313,24,0
13.18091,9.701255,635.6868,22,16.10479,12.84165,798.6369,23,0
13.15097,9.567106,651.585,22,16.64599,13.64889,876.611,25,0
12.00293,8.787062,626.2905,23,16.80172,13.70277,825.254,24,0
12.76392,9.605075,673.2538,23,16.68644,13.80351,802.7653,22,0
13.3452,10.34887,723.5186,25,16.81963,13.93858,764.1072,21,0
10.41192,8.306612,580.0853,24,18.0438,15.3402,765.2797,20,0
9.794508,7.964749,530.9641,21,17.64435,15.02482,695.1428,19,0
9.772028,7.891545,490.0572,21,16.2021,13.69102,612.8414,20,0
8.879823,7.217137,436.6844,22,16.1742,13.82927,609.3637,19,0
8.533954,7.114586,435.7502,23,18.02788,14.948,763.5972,19,0
8.886721,7.515864,477.7406,23,17.35985,14.31021,757.8094,21,0
8.963517,7.513803,482.5489,25,17.51776,14.37592,814.8685,22,0
7.701004,6.330327,411.6743,26,17.00395,13.54322,787.0842,23,0
7.721497,6.406419,437.6487,24,15.92975,12.63936,827.3811,25,0
8.50424,6.866093,454.2784,23,14.5206,11.56075,777.8922,26,0
9.039765,7.219583,473.2257,25,15.38224,11.90232,810.8724,25,0
