RMS_ch1,MAV_ch1,WL_ch1,SSC_ch1,RMS_ch2,MAV_ch2,WL_ch2,SSC_ch2,RMS_ch3,MAV_ch3,WL_ch3,SSC_ch3,RMS_ch4,MAV_ch4,WL_ch4,SSC_ch4,RMS_ch5,MAV_ch5,WL_ch5,SSC_ch5,RMS_ch6,MAV_ch6,WL_ch6,SSC_ch6,RMS_ch7,MAV_ch7,WL_ch7,SSC_ch7,RMS_ch8,MAV_ch8,WL_ch8,SSC_ch8,Label
24.7176,16.378067,917.417,24,11.180169,7.5953827,464.9411,24,3.2340255,2.516998,153.34798,21,2.381143,1.8987988,84.66745,19,1.8192364,1.5157127,60.07992,24,1.9759071,1.5284289,58.91475,25,4.5773726,3.2528768,194.04126,25,13.125282,9.604506,475.58948,22,0
25.239183,17.560877,996.1274,24,11.6313305,8.1496,492.5492,24,7.0137053,4.2553544,261.30533,22,2.8283556,2.2018006,95.759125,18,2.0064468,1.677795,72.96074,26,2.3920357,1.9026711,90.541306,26,5.134089,3.8995292,228.19258,23,16.034529,11.888259,621.978,21,0
25.266088,18.037355,1011.218,23,11.808609,8.626517,523.4772,23,7.5472755,4.9610724,326.10223,25,3.046554,2.3978405,104.86587,17,1.9048458,1.5739417,78.717865,27,2.6263993,2.137225,111.46246,26,8.069142,5.97148,355.28918,23,19.020882,15.22808,786.3927,21,0
22.178242,14.487601,825.9692,20,10.661951,7.231877,475.34668,23,7.5863795,5.009892,334.83917,25,2.9819384,2.365369,103.3893,19,1.9887618,1.6476471,78.72043,27,2.5785093,2.0861995,103.14195,25,8.362513,6.3655133,402.1497,24,19.948618,16.267937,792.6825,21,0
12.331945,9.233514,502.53473,19,10.223991,6.940638,413.6081,23,8.338788,5.638309,360.68124,25,3.3413363,2.6318862,111.322845,19,2.6771688,2.1467328,92.951614,25,2.9307911,2.4619734,105.97467,21,9.123757,7.0436964,432.5993,24,18.79541,15.088717,762.6442,23,0
15.184211,10.426514,548.9796,19,14.360951,9.50251,526.1118,21,8.556608,5.9162116,385.70084,25,3.3607414,2.5873384,122.10731,21,3.0878377,2.3291814,109.199066,24,3.186818,2.5889397,123.49043,19,10.455563,8.043137,468.96432,24,20.857693,16.98245,819.52356,21,0
16.710253,11.39384,614.5491,20,15.404215,10.837129,605.5163,21,6.3058596,4.722888,312.44348,26,3.2064166,2.5485005,114.403564,23,3.2939847,2.5507274,113.90866,23,4.0772247,3.175495,141.65353,20,12.648857,9.656247,575.2845,22,21.179066,17.584185,714.8259,20,0
16.14657,10.462899,582.60425,22,15.713857,11.503351,654.8224,20,5.8715262,4.43573,298.92816,25,3.0014198,2.3330452,105.32201,23,3.329311,2.6075838,113.570435,21,4.2787766,3.2883797,156.71188,18,12.555571,9.560858,576.47156,23,18.759817,14.910338,571.85504,19,0
16.596392,11.136191,607.918,22,24.318043,17.224258,1056.4685,21,7.1742353,5.2757754,317.09448,24,3.6326232,2.762437,124.78622,23,3.537808,2.7718246,127.588905,22,4.3330865,3.3842883,165.23055,17,12.641895,9.682338,594.6621,22,19.492598,15.372331,685.1434,19,0
16.327791,10.73724,601.3804,23,25.539991,17.872341,1191.9136,24,7.201558,5.35948,345.0244,26,3.6061003,2.7313914,119.33717,24,3.2373762,2.5530202,111.26495,21,4.518973,3.4799452,175.11076,19,13.44304,10.131232,601.2634,21,21.377762,16.62973,822.94995,20,0
